apple|Pomme|تفاحة
arena|Arène|ساحة رياضية
athletics,track and field|Athlétisme|ألعاب القوى
backboard|Panneau de basket|لوحة السلة
backpack|Sac à dos|حقيبة ظهر
ball,baseball ball|Balle|كرة
banana,bananas|Banane|موز
banners|Bannières|لافتات
baseball|Baseball|بيسبول
baseball bat,bat|Batte|مضرب بيسبول
baseball diamond|Terrain de baseball|ملعب بيسبول
baseball glove,glove|Gant de baseball|قفاز بيسبول
baseball player|Joueur de baseball|لاعب بيسبول
bases|Bases|قواعد الملعب
basketball|Basketball|كرة السلة
basketball court|Terrain de basket|ملعب كرة السلة
basketball hoop,hoop|Panier de basket|سلة
basketball player|Joueur de basket|لاعب كرة السلة
basketball shoes,sneakers|Chaussures de sport|حذاء رياضي
batter|Batteur|ضارب الكرة
batter box|Zone du batteur|منطقة الضارب
beach ball|Ballon de plage|كرة شاطئ
beach umbrella|Parasol|مظلة شاطئ
bench|Banc|مقعد
bicycle|Vélo|دراجة
bleachers,grandstand,grandstands|Tribunes|مدرجات
board game|Jeu de société|لعبة لوحية
boards|Palissade|حواجز الملعب
book,books|Livre|كتاب
bottles|Bouteilles|زجاجات
boxer|Boxeur|ملاكم
boxing|Boxe|ملاكمة
boxing gloves,gloves|Gants de boxe|قفازات ملاكمة
boxing ring|Ring de boxe|حلبة ملاكمة
boxing shoes|Chaussures de boxe|حذاء ملاكمة
boy|Garçon|ولد
bread|Pain|خبز
bridge|Pont|جسر
bucket|Seau|دلو
cable car,gondola|Télécabine|تلفريك
camera|Caméra|كاميرا
campfire|Feu de camp|نار مخيم
cards|Cartes|بطاقات
cat|Chat|قط
catcher|Receveur|ماسك الكرة
chain-link fence|Grillage|سياج شبكي
chairlift,ski lift|Remontée mécanique|مصعد تزلج
chalet|Chalet|كوخ جبلي
chalkboard|Tableau noir|سبورة
checkered flag|Drapeau à damier|علم مربعات
chips|Chips|رقائق بطاطس
circuit,race track|Circuit|حلبة سباق
city|Ville|مدينة
city skyline|Panorama urbain|أفق المدينة
clock|Horloge|ساعة
clubhouse|Club-house|مبنى النادي
coach|Entraîneur|مدرب
coffee cup|Tasse de café|فنجان قهوة
coffee pot|Cafetière|إبريق قهوة
colored pencils|Crayons de couleur|أقلام تلوين
control tower|Tour de contrôle|برج مراقبة
cookies|Biscuits|بسكويت
cooler|Glacière|صندوق تبريد
corner flag|Drapeau de corner|راية ركنية
couch|Canapé|أريكة
court lines|Lignes du terrain|خطوط الملعب
crowd,spectators|Spectateurs|جمهور
customer|Client|زبون
defender|Défenseur|مدافع
desk|Bureau|مكتب
desk lamp|Lampe de bureau|مصباح مكتب
dice|Dés|نرد
diving platform,diving tower|Plongeoir|منصة غطس
dog|Chien|كلب
dribbling|Dribble|تنطيط الكرة
driver|Pilote|سائق
ducks|Canards|بط
duffel bag,sports bag|Sac de sport|حقيبة رياضية
dugout|Abri des joueurs|مأوى اللاعبين
dumbbells,weights|Haltères|أثقال
fence|Clôture|سياج
field markings|Marquages au sol|علامات الملعب
finish line|Ligne d’arrivée|خط النهاية
fish|Poisson|سمك
flags|Drapeaux|أعلام
floodlights,stadium lights|Projecteurs|كشافات الملعب
flowers|Fleurs|زهور
folding chair|Chaise pliante|كرسي قابل للطي
football,soccer|Football|كرة القدم
football player,soccer player|Footballeur|لاعب كرة القدم
formula car|Voiture de Formule 1|سيارة فورمولا
four people|Quatre personnes|أربعة أشخاص
freezer|Congélateur|مجمد
frisbee|Frisbee|قرص طائر
frozen lake|Lac gelé|بحيرة متجمدة
frozen pizza|Pizza surgelée|بيتزا مجمدة
garage|Garage|مرآب
girl|Fille|بنت
glass barrier|Barrière vitrée|حاجز زجاجي
globe|Globe terrestre|كرة أرضية
glue|Colle|غراء
goal|But|مرمى
goal net|Filet du but|شبكة مرمى
