Image ID | Full Name | Asset Path | Possible Correct Answers

A17 | hearthmorn_A17 | /assets/images/hearthmorn_A17.png | woman, man, cat, table, bread, coffee pot, mug, banana, orange juice, refrigerator, toaster, flowers, window
B42 | aisleglow_B42 | /assets/images/aisleglow_B42.png | woman, man, shopping cart, apple, bananas, bread, milk, frozen pizza, vegetables, bottles, freezer, shopping basket
C58 | lakesidefun_C58 | /assets/images/lakesidefun_C58.png | man, woman, boy, girl, dog, bicycle, picnic basket, sandwich, apple, orange juice, ducks, frisbee, lake, squirrel
D31 | classspark_D31 | /assets/images/classspark_D31.png | teacher, students, chalkboard, globe, clock, book, backpack, desk, cat, map, plant, pencil
E76 | harbormarket_E76 | /assets/images/harbormarket_E76.png | vendor, customer, bananas, tomatoes, spices, fish, flowers, bread, scooter, bicycle, sailboat, umbrella, market stall
F24 | boardbliss_F24 | /assets/images/boardbliss_F24.png | board game, cards, popcorn, chips, cookies, dog, dice, couch, television, mugs, books, four people
G63 | shoreplay_G63 | /assets/images/shoreplay_G63.png | woman, man, boy, girl, dog, beach umbrella, surfboard, sandcastle, bucket, shovel, beach ball, seagull, sailboat, lighthouse, shells
H85 | platformrise_H85 | /assets/images/platformrise_H85.png | train, clock, suitcase, backpack, bench, vending machine, pigeons, coffee cup, city skyline, map, travelers, station
I49 | campcrest_I49 | /assets/images/campcrest_I49.png | tent, campfire, guitar, dog, lantern, backpack, mug, cooler, folding chair, lake, mountain, waterfall, trees
J92 | craftnest_J92 | /assets/images/craftnest_J92.png | girl, cat, laptop, scissors, glue, notebook, colored pencils, guitar, desk lamp, plant, window, paper, mug
1127 | GoalQuest_1127 | /assets/images/GoalQuest_1127.png | soccer, football, soccer player, football player, soccer ball, goal, goal net, goalkeeper, referee, stadium, pitch, grass field, crowd, spectators, grandstand, floodlights, corner flag, sideline, team bench, dugout, coach, scoreboard, flags, sunset, palm trees, mountains, sea, sailboat, camera, water cooler
2048 | SkyHoops_2048 | /assets/images/SkyHoops_2048.png | basketball, basketball player, basketball hoop, hoop, backboard, rim, net, basketball court, court lines, dribbling, defender, players, bench, sports bag, duffel bag, sneakers, basketball shoes, water bottle, chain-link fence, floodlights, city skyline, skyscrapers, river, bridge, sunset, trees, plants
3186 | CourtBloom_3186 | /assets/images/CourtBloom_3186.png | tennis, tennis player, tennis court, tennis net, tennis racket, racket, tennis ball, umpire, umpire chair, bench, table, tennis bag, towel, hat, water bottle, fence, clubhouse, pavilion, flowers, trees, mountains, lake, sailboat, umbrella, spectators
4275 | IceStrike_4275 | /assets/images/IceStrike_4275.png | ice hockey, hockey, hockey player, hockey stick, puck, goal, goal net, goalie, goalkeeper, referee, ice rink, ice, arena, crowd, spectators, grandstand, scoreboard, jumbotron, team bench, penalty box, boards, glass barrier, helmets, skates, flags, stadium lights
5364 | AquaPulse_5364 | /assets/images/AquaPulse_5364.png | swimming, swimmer, swimming pool, pool, lane divider, lane rope, starting block, lifeguard, lifeguard chair, diving platform, diving tower, swim cap, goggles, towel, water bottle, pool ladder, bleachers, crowd, spectators, scoreboard, banners, palm trees, windows, splashing water
6453 | SnowRush_6453 | /assets/images/SnowRush_6453.png | skiing, skier, skis, ski poles, snowboard, chairlift, ski lift, gondola, cable car, lift station, slalom gate, snow, snowy mountain, mountains, pine trees, chalet, lodge, ski rack, helmet, goggles, ski jacket, frozen lake, safety net, ski slope
7542 | TrackForge_7542 | /assets/images/TrackForge_7542.png | athletics, track and field, runner, runners, running track, sprinting, hurdles, hurdler, pole vault, pole vaulter, javelin, javelin thrower, high jump, high jumper, long jump, long jumper, sand pit, podium, stadium, crowd, spectators, grandstand, scoreboard, flags, field markings, officials, landing mat
8631 | RingCraft_8631 | /assets/images/RingCraft_8631.png | boxing, boxer, boxing ring, boxing gloves, gloves, punching bag, heavy bag, speed bag, jump rope, hand wraps, towel, bench, water bottle, duffel bag, lockers, shelves, stool, bucket, dumbbells, weights, posters, headgear, gym, ring ropes, boxing shoes
9720 | DiamondHit_9720 | /assets/images/DiamondHit_9720.png | baseball, baseball player, batter, pitcher, catcher, umpire, baseball bat, bat, baseball ball, ball, baseball glove, glove, home plate, batter box, pitcher mound, baseball diamond, infield, outfield, dugout, grandstands, crowd, scoreboard, stadium lights, outfield fence, bases, helmets, team bench
1089 | TurboFinish_1089 | /assets/images/TurboFinish_1089.png | motorsport, racing, race car, racing car, formula car, driver, pit lane, pit crew, garage, checkered flag, finish line, grandstands, crowd, safety barrier, fence, traffic cones, tire stacks, tires, podium, trophies, race track, circuit, pit wall, control tower, sunset, city, harbor, mountains
